Test,Pokedex,Name,Fast,Special,Usless,Eff%,Eff%_Def,TDO,def_TDO
381,67,Machoke,Karate Chop,Submission,,80%,86%,107,107
190,35,Clefairy,Pound,Body Slam,,99%,100%,86,69
163,30,Nidorina,Poison Sting,Dig,,77%,85%,85,83
162,30,Nidorina,Poison Sting,Poison Fang,15,77%,91%,85,89
606,105,Marowak,Rock Smash,Bone Club,,79%,88%,106,107
111,22,Fearow,Peck,Aerial Ace,,93%,98%,85,105
537,93,Haunter,Lick,Shadow Ball,,84%,90%,68,75
587,101,Electrode,Tackle,Hyper Beam,,85%,86%,106,85
582,101,Electrode,Spark,Discharge,,85%,95%,106,94
30,5,Charmeleon,Scratch,Flamethrower,,100%,89%,105,94
627,108,Lickitung,Zen Headbutt,Stomp,,80%,98%,120,133
193,35,Clefairy,Zen Headbutt,Body Slam,,85%,90%,73,62
453,79,Slowpoke,Confusion,Water Pulse,,64%,84%,67,89
325,57,Primeape,Karate Chop,Low Sweep,,81%,97%,103,124
299,53,Persian,Scratch,Play Rough,,100%,98%,114,90
622,107,Hitmonchan,Rock Smash,Brick Break,,100%,100%,103,92
741,128,Tauros,Tackle,Iron Head,,86%,88%,128,109
740,128,Tauros,Tackle,Horn Attack,65,86%,100%,128,123
112,22,Fearow,Peck,Drill Run,,99%,96%,91,103
113,22,Fearow,Peck,Twister,,89%,80%,82,86
490,85,Dodrio,Steel Wing,Aerial Ace,,81%,92%,88,108
123,24,Arbok,Bite,Dark Pulse,11,80%,96%,101,90
535,93,Haunter,Shadow Claw,Dark Pulse,,81%,77%,65,64
571,99,Kingler,Metal Claw,X Scissor,,100%,84%,107,89
572,99,Kingler,Metal Claw,Water Pulse,,95%,100%,101,106
570,99,Kingler,Metal Claw,Vice Grip,,95%,91%,101,97
625,108,Lickitung,Lick,Power Whip,,84%,55%,126,74
717,124,Jynx,Frost Breath,Ice Punch,64,92%,93%,100,113
716,124,Jynx,Frost Breath,Draining Kiss,,92%,64%,100,77
114,22,Fearow,Steel Wing,Aerial Ace,,93%,100%,86,107
553,96,Drowzee,Pound,Psyshock,,88%,100%,68,73
678,117,Seadra,Dragon Breath,Dragon Pulse,,75%,96%,99,86
720,124,Jynx,Pound,Ice Punch,,91%,94%,99,113
556,96,Drowzee,Confusion,Psyshock,,81%,100%,63,73
522,91,Cloyster,Frost Breath,Icy Wind,48,79%,73%,123,88
624,108,Lickitung,Lick,Stomp,,82%,100%,123,136
719,124,Jynx,Pound,Draining Kiss,,90%,62%,98,75
804,141,Kabutops,Fury Cutter,Stone Edge,,93%,69%,153,87
27,5,Charmeleon,Ember,Flamethrower,,92%,87%,97,92
487,85,Dodrio,Feint Attack,Aerial Ace,,82%,91%,89,107
585,101,Electrode,Tackle,Discharge,,78%,96%,97,95
607,105,Marowak,Rock Smash,Dig,,72%,96%,97,117
504,88,Grimer,Poison Jab,Sludge,45,80%,93%,77,90
505,88,Grimer,Poison Jab,Mud Bomb,,80%,78%,77,76
178,33,Nidorino,Poison Jab,Dig,,78%,87%,76,78
177,33,Nidorino,Poison Jab,Horn Attack,,78%,80%,76,72
538,93,Haunter,Lick,Dark Pulse,,76%,69%,61,57
470,82,Magneton,Spark,Flash Cannon,,100%,100%,119,123
612,106,Hitmonlee,Rock Smash,Brick Break,,100%,96%,95,89
181,33,Nidorino,Poison Sting,Dig,,76%,83%,75,74
180,33,Nidorino,Poison Sting,Horn Attack,,76%,75%,75,67
47,8,Wartortle,Bite,Ice Beam,,75%,79%,102,80
491,85,Dodrio,Steel Wing,Air Cutter,,79%,86%,86,101
800,141,Kabutops,Mud Shot,Water Pulse,,71%,99%,116,125
799,141,Kabutops,Mud Shot,Ancient Power,,71%,95%,116,120
609,106,Hitmonlee,Low Kick,Brick Break,,98%,82%,93,76
29,5,Charmeleon,Scratch,Flame Burst,,88%,99%,92,105
473,82,Magneton,Thunder Shock,Flash Cannon,,97%,98%,115,121
83,17,Pidgeotto,Wing Attack,Air Cutter,8,100%,86%,74,63
82,17,Pidgeotto,Wing Attack,Aerial Ace,7,100%,94%,74,69
81,17,Pidgeotto,Wing Attack,Twister,,100%,75%,74,55
443,77,Ponyta,Ember,Fire Blast,,100%,100%,92,76
525,91,Cloyster,Ice Shard,Icy Wind,49,73%,77%,115,93
28,5,Charmeleon,Scratch,Fire Punch,,87%,95%,92,101
115,22,Fearow,Steel Wing,Drill Run,,100%,99%,92,106
588,102,Exeggcute,Confusion,Seed Bomb,,96%,100%,66,77
621,107,Hitmonchan,Rock Smash,Thunder Punch,,88%,94%,91,86
323,57,Primeape,Low Kick,Night Slash,,71%,74%,91,95
192,35,Clefairy,Zen Headbutt,Disarming Voice,,67%,75%,58,52
574,99,Kingler,Mud Shot,X Scissor,,95%,82%,102,87
575,99,Kingler,Mud Shot,Water Pulse,,84%,99%,90,106
573,99,Kingler,Mud Shot,Vice Grip,,84%,90%,90,95
488,85,Dodrio,Feint Attack,Air Cutter,,82%,85%,89,100
298,53,Persian,Scratch,Power Gem,,98%,100%,112,92
297,53,Persian,Scratch,Night Slash,,98%,93%,112,85
189,35,Clefairy,Pound,Disarming Voice,,82%,73%,71,50
468,82,Magneton,Spark,Discharge,,93%,78%,110,96
26,5,Charmeleon,Ember,Flame Burst,,83%,100%,88,106
440,77,Ponyta,Tackle,Fire Blast,,95%,97%,88,74
433,76,Golem,Rock Throw,Ancient Power,37,64%,94%,137,163
159,30,Nidorina,Bite,Poison Fang,,73%,88%,82,86
25,5,Charmeleon,Ember,Fire Punch,,83%,91%,87,96
776,137,Porygon,Zen Headbutt,Signal Beam,,91%,95%,92,96
777,137,Porygon,Zen Headbutt,Discharge,,89%,86%,91,87
775,137,Porygon,Zen Headbutt,Psybeam,70,85%,92%,87,93
619,107,Hitmonchan,Rock Smash,Fire Punch,,83%,89%,86,82
620,107,Hitmonchan,Rock Smash,Ice Punch,,83%,88%,86,81
362,64,Kadabra,Psycho Cut,Shadow Ball,,100%,91%,55,51
361,64,Kadabra,Psycho Cut,Dazzling Gleam,,100%,88%,55,49
360,64,Kadabra,Psycho Cut,Psybeam,31,100%,92%,55,51
614,106,Hitmonlee,Rock Smash,Stone Edge,,97%,78%,92,73
618,107,Hitmonchan,Bullet Punch,Brick Break,,82%,81%,84,75
613,106,Hitmonlee,Rock Smash,Low Sweep,,89%,100%,84,93
803,141,Kabutops,Fury Cutter,Water Pulse,,67%,100%,110,126
471,82,Magneton,Thunder Shock,Discharge,,89%,75%,105,93
116,22,Fearow,Steel Wing,Twister,,91%,83%,84,89
555,96,Drowzee,Confusion,Psybeam,51,68%,97%,53,71
590,102,Exeggcute,Confusion,Ancient Power,,77%,71%,53,55
507,88,Grimer,Mud Slap,Sludge,,69%,93%,66,90
46,8,Wartortle,Bite,Aqua Jet,,68%,98%,93,99
610,106,Hitmonlee,Low Kick,Low Sweep,,86%,93%,82,87
160,30,Nidorina,Bite,Dig,,73%,83%,82,81
778,137,Porygon,Tackle,Psybeam,,100%,94%,102,95
780,137,Porygon,Tackle,Discharge,,100%,92%,102,93
779,137,Porygon,Tackle,Signal Beam,,100%,100%,102,101
1,1,Bulbasaur,Vine Whip,Sludge Bomb,,100%,91%,65,61
238,43,Oddish,Razor Leaf,Sludge Bomb,,100%,95%,65,65
241,43,Oddish,Acid,Sludge Bomb,,100%,90%,64,62
611,106,Hitmonlee,Low Kick,Stone Edge,,94%,57%,89,53
302,53,Persian,Feint Attack,Play Rough,,85%,95%,97,87
326,57,Primeape,Karate Chop,Night Slash,,63%,74%,81,95
469,82,Magneton,Spark,Magnet Bomb,,84%,80%,100,99
3,1,Bulbasaur,Vine Whip,Power Whip,,98%,67%,64,44
552,96,Drowzee,Pound,Psybeam,,81%,88%,64,64
101,20,Raticate,Bite,Hyper Beam,,100%,89%,107,79
630,109,Koffing,Acid,Sludge Bomb,,100%,99%,63,59
345,61,Poliwhirl,Bubble,Scald,,100%,100%,78,107
348,61,Poliwhirl,Mud Shot,Scald,,100%,88%,78,95
269,48,Venonat,Bug Bite,Signal Beam,,100%,99%,62,69
267,48,Venonat,Bug Bite,Psybeam,,100%,69%,62,48
268,48,Venonat,Bug Bite,Poison Fang,,100%,82%,62,56
239,43,Oddish,Razor Leaf,Moonblast,,86%,70%,56,48
272,48,Venonat,Confusion,Signal Beam,,85%,100%,52,69
633,109,Koffing,Tackle,Sludge Bomb,,96%,96%,61,57
242,43,Oddish,Acid,Moonblast,,85%,64%,55,44
270,48,Venonat,Confusion,Psybeam,18,63%,75%,39,52
271,48,Venonat,Confusion,Poison Fang,,71%,90%,44,62
617,107,Hitmonchan,Bullet Punch,Thunder Punch,,73%,77%,75,71
237,43,Oddish,Razor Leaf,Seed Bomb,,93%,100%,60,69
508,88,Grimer,Mud Slap,Mud Bomb,46,62%,78%,60,75
240,43,Oddish,Acid,Seed Bomb,,92%,97%,60,67
2,1,Bulbasaur,Vine Whip,Seed Bomb,,91%,100%,59,67
497,86,Seel,Lick,Aqua Tail,,100%,92%,74,68
332,58,Growlithe,Bite,Flamethrower,,100%,100%,79,87
329,58,Growlithe,Ember,Flamethrower,,93%,88%,73,77
214,39,Jigglypuff,Pound,Body Slam,,100%,91%,73,68
430,75,Graveler,Mud Slap,Stone Edge,,100%,80%,99,80
391,69,Bellsprout,Vine Whip,Sludge Bomb,,100%,93%,58,64
472,82,Magneton,Thunder Shock,Magnet Bomb,,76%,78%,91,97
4,1,Bulbasaur,Tackle,Sludge Bomb,,88%,85%,57,56
346,61,Poliwhirl,Bubble,Mud Bomb,,91%,76%,71,82
347,61,Poliwhirl,Bubble,Bubble Beam,29,91%,84%,71,90
390,69,Bellsprout,Vine Whip,Power Whip,,98%,81%,57,56
615,107,Hitmonchan,Bullet Punch,Fire Punch,,68%,74%,70,68
328,58,Growlithe,Ember,Body Slam,,88%,72%,70,63
104,20,Raticate,Quick Attack,Hyper Beam,,81%,90%,87,80
305,54,Psyduck,Water Gun,Cross Chop,,100%,67%,69,45
158,29,Nidoran‰ªÛ,Poison Sting,Sludge Bomb,,100%,100%,55,60
331,58,Growlithe,Bite,Body Slam,,97%,85%,77,74
476,83,Farfetch'd,Cut,Leaf Blade,,100%,91%,69,64
100,20,Raticate,Bite,Hyper Fang,,86%,100%,92,89
304,54,Psyduck,Water Gun,Aqua Tail,,98%,100%,68,67
6,1,Bulbasaur,Tackle,Power Whip,,83%,64%,54,43
349,61,Poliwhirl,Mud Shot,Mud Bomb,30,86%,63%,67,68
350,61,Poliwhirl,Mud Shot,Bubble Beam,,86%,70%,67,76
616,107,Hitmonchan,Bullet Punch,Ice Punch,,65%,75%,67,69
654,113,Chansey,Pound,Hyper Beam,,100%,100%,84,84
394,69,Bellsprout,Acid,Sludge Bomb,,92%,100%,54,69
374,66,Machop,Low Kick,Cross Chop,,100%,78%,67,58
494,86,Seel,Ice Shard,Aqua Tail,,90%,88%,67,65
441,77,Ponyta,Ember,Flame Charge,38,72%,92%,66,69
442,77,Ponyta,Ember,Flame Wheel,39,72%,97%,66,73
5,1,Bulbasaur,Tackle,Seed Bomb,,82%,92%,53,62
802,141,Kabutops,Fury Cutter,Ancient Power,,63%,95%,103,120
474,83,Farfetch'd,Cut,Aerial Ace,,89%,100%,61,70
157,29,Nidoran‰ªÛ,Poison Sting,Body Slam,,94%,80%,52,48
363,64,Kadabra,Confusion,Psybeam,32,76%,100%,41,56
364,64,Kadabra,Confusion,Dazzling Gleam,,76%,97%,41,54
365,64,Kadabra,Confusion,Shadow Ball,,79%,98%,43,54
85,17,Pidgeotto,Steel Wing,Aerial Ace,,75%,100%,55,73
373,66,Machop,Low Kick,Brick Break,,96%,97%,64,72
393,69,Bellsprout,Acid,Power Whip,,88%,67%,51,46
155,29,Nidoran‰ªÛ,Bite,Sludge Bomb,,99%,100%,55,59
653,113,Chansey,Pound,Psychic,,89%,79%,75,66
429,75,Graveler,Mud Slap,Dig,36,80%,97%,79,98
431,75,Graveler,Mud Slap,Rock Slide,,91%,100%,90,101
307,54,Psyduck,Zen Headbutt,Aqua Tail,,81%,82%,56,55
288,51,Dugtrio,Mud Slap,Earthquake,,100%,94%,62,54
308,54,Psyduck,Zen Headbutt,Cross Chop,,77%,59%,53,39
103,20,Raticate,Quick Attack,Hyper Fang,,72%,94%,77,83
475,83,Farfetch'd,Cut,Air Cutter,,89%,91%,61,64
438,77,Ponyta,Tackle,Flame Charge,,67%,91%,61,69
439,77,Ponyta,Tackle,Flame Wheel,,67%,96%,61,73
629,109,Koffing,Acid,Sludge,,77%,100%,49,59
377,66,Machop,Karate Chop,Cross Chop,,90%,66%,60,49
303,54,Psyduck,Water Gun,Psybeam,,87%,68%,60,46
477,83,Farfetch'd,Fury Cutter,Aerial Ace,,75%,85%,52,60
657,113,Chansey,Zen Headbutt,Hyper Beam,,81%,90%,68,76
376,66,Machop,Karate Chop,Brick Break,,89%,100%,60,74
655,113,Chansey,Pound,Dazzling Gleam,,89%,68%,75,57
479,83,Farfetch'd,Fury Cutter,Leaf Blade,,93%,95%,64,66
215,39,Jigglypuff,Pound,Dazzling Gleam,,80%,79%,59,59
597,104,Cubone,Mud Slap,Bone Club,,100%,98%,59,65
86,17,Pidgeotto,Steel Wing,Air Cutter,,73%,91%,54,67
632,109,Koffing,Tackle,Sludge,,75%,99%,47,59
213,39,Jigglypuff,Pound,Disarming Voice,,80%,47%,59,36
176,32,Nidoran‰ªâ,Poison Sting,Sludge Bomb,,100%,100%,47,53
631,109,Koffing,Acid,Dark Pulse,,73%,84%,47,50
427,75,Graveler,Rock Throw,Stone Edge,,91%,76%,90,77
154,29,Nidoran‰ªÛ,Bite,Body Slam,,92%,81%,51,48
656,113,Chansey,Zen Headbutt,Psychic,,68%,81%,57,68
765,133,Eevee,Tackle,Body Slam,,100%,100%,71,61
495,86,Seel,Lick,Aqua Jet,,76%,87%,56,64
496,86,Seel,Lick,Icy Wind,,76%,52%,56,38
372,66,Machop,Low Kick,Low Sweep,,83%,89%,56,66
426,75,Graveler,Rock Throw,Dig,,73%,96%,73,97
642,111,Rhyhorn,Mud Slap,Horn Attack,,100%,85%,70,72
643,111,Rhyhorn,Mud Slap,Stomp,,100%,100%,70,85
641,111,Rhyhorn,Mud Slap,Bulldoze,57,100%,95%,70,81
392,69,Bellsprout,Vine Whip,Wrap,,76%,39%,44,27
38,7,Squirtle,Bubble,Aqua Tail,,100%,100%,55,63
327,58,Growlithe,Ember,Flame Wheel,26,70%,71%,55,62
478,83,Farfetch'd,Fury Cutter,Air Cutter,,68%,78%,47,55
218,39,Jigglypuff,Feint Attack,Dazzling Gleam,,63%,82%,46,62
285,51,Dugtrio,Sucker Punch,Earthquake,,95%,79%,59,45
175,32,Nidoran‰ªâ,Poison Sting,Body Slam,,93%,82%,44,44
217,39,Jigglypuff,Feint Attack,Body Slam,,81%,100%,59,75
257,46,Paras,Scratch,Seed Bomb,,95%,99%,43,49
492,86,Seel,Ice Shard,Aqua Jet,,73%,100%,54,74
428,75,Graveler,Rock Throw,Rock Slide,,85%,99%,84,100
306,54,Psyduck,Zen Headbutt,Psybeam,25,62%,70%,43,47
301,53,Persian,Feint Attack,Power Gem,,74%,96%,84,88
84,17,Pidgeotto,Steel Wing,Twister,,73%,79%,54,58
413,72,Tentacool,Poison Sting,Wrap,,100%,50%,43,25
411,72,Tentacool,Poison Sting,Bubble Beam,,100%,85%,43,43
412,72,Tentacool,Poison Sting,Water Pulse,,100%,88%,43,44
156,29,Nidoran‰ªÛ,Poison Sting,Poison Fang,14,77%,75%,43,45
634,109,Koffing,Tackle,Dark Pulse,,69%,83%,44,49
118,23,Ekans,Poison Sting,Sludge Bomb,,100%,100%,43,43
375,66,Machop,Karate Chop,Low Sweep,,80%,91%,53,68
260,46,Paras,Bug Bite,Seed Bomb,,100%,100%,46,49
600,104,Cubone,Rock Smash,Bone Club,,89%,92%,53,61
685,118,Goldeen,Mud Shot,Aqua Tail,,100%,100%,53,49
290,51,Dugtrio,Mud Slap,Stone Edge,,91%,80%,57,46
599,104,Cubone,Mud Slap,Bulldoze,55,89%,89%,52,59
598,104,Cubone,Mud Slap,Dig,54,89%,100%,52,66
300,53,Persian,Feint Attack,Night Slash,24,72%,94%,82,87
530,92,Gastly,Lick,Sludge Bomb,,100%,88%,33,34
41,7,Squirtle,Tackle,Aqua Tail,,94%,75%,52,47
173,32,Nidoran‰ªâ,Peck,Sludge Bomb,,80%,83%,37,44
119,23,Ekans,Poison Sting,Gunk Shot,,94%,67%,40,29
493,86,Seel,Ice Shard,Icy Wind,42,67%,58%,50,43
289,51,Dugtrio,Mud Slap,Mud Bomb,21,79%,100%,49,58
828,147,Dratini,Dragon Breath,Aqua Tail,,100%,100%,49,45
99,20,Raticate,Bite,Dig,,71%,86%,76,76
330,58,Growlithe,Bite,Flame Wheel,,77%,67%,61,58
646,111,Rhyhorn,Rock Smash,Stomp,,88%,96%,61,82
682,118,Goldeen,Peck,Aqua Tail,,83%,88%,44,43
658,113,Chansey,Zen Headbutt,Dazzling Gleam,,57%,69%,48,58
410,72,Tentacool,Bubble,Wrap,,90%,56%,39,28
408,72,Tentacool,Bubble,Bubble Beam,33,90%,97%,39,49
409,72,Tentacool,Bubble,Water Pulse,34,90%,100%,39,50
826,147,Dratini,Dragon Breath,Wrap,73,98%,55%,48,25
827,147,Dratini,Dragon Breath,Twister,74,98%,88%,48,40
121,23,Ekans,Acid,Sludge Bomb,,90%,91%,38,39
24,4,Charmander,Scratch,Flamethrower,,100%,100%,48,52
230,41,Zubat,Bite,Sludge Bomb,,100%,100%,33,36
255,46,Paras,Scratch,Cross Poison,,84%,81%,38,40
601,104,Cubone,Rock Smash,Dig,,80%,97%,48,64
782,138,Omanyte,Water Gun,Brine,71,100%,100%,59,50
783,138,Omanyte,Water Gun,Rock Tomb,,100%,92%,59,46
781,138,Omanyte,Water Gun,Ancient Power,,100%,100%,59,50
395,69,Bellsprout,Acid,Wrap,,65%,40%,38,28
102,20,Raticate,Quick Attack,Dig,,55%,88%,59,78
256,46,Paras,Scratch,X Scissor,,94%,95%,43,47
762,133,Eevee,Quick Attack,Body Slam,,83%,92%,59,56
577,100,Voltorb,Spark,Thunderbolt,,100%,100%,46,44
258,46,Paras,Bug Bite,Cross Poison,,90%,82%,41,40
644,111,Rhyhorn,Rock Smash,Bulldoze,,83%,93%,57,79
172,32,Nidoran‰ªâ,Peck,Body Slam,,70%,64%,33,34
318,56,Mankey,Scratch,Cross Chop,,100%,88%,46,40
259,46,Paras,Bug Bite,X Scissor,,100%,97%,45,47
37,7,Squirtle,Bubble,Aqua Jet,2,82%,97%,45,61
39,7,Squirtle,Bubble,Water Pulse,3,82%,94%,45,59
533,92,Gastly,Sucker Punch,Sludge Bomb,,92%,100%,31,39
174,32,Nidoran‰ªâ,Poison Sting,Horn Attack,,77%,60%,36,32
21,4,Charmander,Ember,Flamethrower,,92%,89%,44,47
122,23,Ekans,Acid,Gunk Shot,,82%,65%,35,28
764,133,Eevee,Tackle,Swift,68,77%,98%,55,60
763,133,Eevee,Tackle,Dig,,77%,95%,55,58
153,29,Nidoran‰ªÛ,Bite,Poison Fang,,75%,72%,41,43
645,111,Rhyhorn,Rock Smash,Horn Attack,,78%,81%,54,69
602,104,Cubone,Rock Smash,Bulldoze,,73%,86%,43,57
320,56,Mankey,Scratch,Brick Break,,93%,98%,43,45
695,120,Staryu,Water Gun,Swift,,100%,78%,42,30
696,120,Staryu,Water Gun,Bubble Beam,61,100%,95%,42,37
697,120,Staryu,Water Gun,Power Gem,,100%,94%,42,36
23,4,Charmander,Scratch,Flame Burst,,87%,91%,42,48
580,100,Voltorb,Tackle,Thunderbolt,,90%,96%,42,42
131,25,Pikachu,Thunder Shock,Thunder,,100%,82%,42,37
287,51,Dugtrio,Sucker Punch,Stone Edge,,84%,62%,52,36
286,51,Dugtrio,Sucker Punch,Mud Bomb,,71%,96%,44,56
759,132,Ditto,Pound,Struggle,67,100%,100%,52,38
40,7,Squirtle,Tackle,Aqua Jet,,75%,86%,41,54
146,27,Sandshrew,Mud Shot,Rock Tomb,,100%,65%,41,29
145,27,Sandshrew,Mud Shot,Rock Slide,,100%,95%,41,43
144,27,Sandshrew,Mud Shot,Dig,12,100%,100%,41,45
130,25,Pikachu,Thunder Shock,Thunderbolt,,99%,100%,41,45
117,23,Ekans,Poison Sting,Wrap,,77%,45%,33,19
42,7,Squirtle,Tackle,Water Pulse,,74%,85%,41,53
684,118,Goldeen,Mud Shot,Horn Attack,,77%,79%,41,39
683,118,Goldeen,Mud Shot,Water Pulse,,77%,95%,41,47
205,37,Vulpix,Ember,Flamethrower,,100%,100%,40,40
20,4,Charmander,Ember,Flame Burst,,83%,100%,40,52
227,41,Zubat,Quick Attack,Sludge Bomb,,77%,89%,25,31
528,92,Gastly,Lick,Ominous Wind,50,75%,60%,25,24
529,92,Gastly,Lick,Dark Pulse,,75%,61%,25,24
480,84,Doduo,Peck,Drill Peck,,100%,98%,31,42
576,100,Voltorb,Spark,Discharge,,84%,99%,39,43
143,27,Sandshrew,Scratch,Rock Tomb,,93%,63%,38,28
142,27,Sandshrew,Scratch,Rock Slide,,93%,94%,38,42
141,27,Sandshrew,Scratch,Dig,,93%,99%,38,45
204,37,Vulpix,Ember,Body Slam,,96%,82%,38,33
680,118,Goldeen,Peck,Water Pulse,,68%,100%,36,49
22,4,Charmander,Scratch,Flame Charge,,78%,63%,38,33
315,56,Mankey,Karate Chop,Cross Chop,,81%,66%,37,30
681,118,Goldeen,Peck,Horn Attack,,61%,84%,32,41
317,56,Mankey,Karate Chop,Brick Break,,80%,100%,37,46
344,60,Poliwag,Mud Shot,Body Slam,,100%,89%,37,36
579,100,Voltorb,Tackle,Discharge,,77%,94%,36,41
785,138,Omanyte,Mud Shot,Brine,,76%,96%,45,48
786,138,Omanyte,Mud Shot,Rock Tomb,,76%,90%,45,44
784,138,Omanyte,Mud Shot,Ancient Power,,76%,98%,45,49
319,56,Mankey,Scratch,Low Sweep,,78%,90%,36,41
578,100,Voltorb,Spark,Signal Beam,,77%,91%,36,40
171,32,Nidoran‰ªâ,Peck,Horn Attack,,54%,61%,25,32
341,60,Poliwag,Bubble,Body Slam,,97%,100%,36,41
293,52,Meowth,Scratch,Body Slam,,100%,100%,44,42
483,84,Doduo,Quick Attack,Drill Peck,,95%,100%,30,43
120,23,Ekans,Acid,Wrap,,65%,47%,28,20
229,41,Zubat,Bite,Air Cutter,,76%,64%,25,23
761,133,Eevee,Quick Attack,Swift,,61%,97%,43,59
129,25,Pikachu,Thunder Shock,Discharge,,82%,90%,34,41
794,140,Kabuto,Scratch,Aqua Jet,,100%,100%,42,46
795,140,Kabuto,Scratch,Rock Tomb,,100%,86%,42,39
793,140,Kabuto,Scratch,Ancient Power,,100%,94%,42,43
133,25,Pikachu,Quick Attack,Thunderbolt,,81%,86%,34,39
202,37,Vulpix,Quick Attack,Flamethrower,,84%,93%,34,37
550,95,Onix,Tackle,Stone Edge,,99%,70%,46,34
19,4,Charmander,Ember,Flame Charge,1,70%,68%,34,35
134,25,Pikachu,Quick Attack,Thunder,,79%,72%,33,32
760,133,Eevee,Quick Attack,Dig,,59%,95%,41,57
316,56,Mankey,Karate Chop,Low Sweep,,72%,91%,33,42
228,41,Zubat,Bite,Poison Fang,,76%,73%,25,26
226,41,Zubat,Quick Attack,Air Cutter,,52%,68%,17,24
68,14,Kakuna,Poison Sting,Struggle,,89%,100%,21,15
464,81,Magnemite,Spark,Thunderbolt,,100%,100%,40,36
668,116,Horsea,Water Gun,Bubble Beam,58,100%,74%,32,28
670,116,Horsea,Water Gun,Flash Cannon,,100%,84%,32,32
669,116,Horsea,Water Gun,Dragon Pulse,,100%,85%,32,32
481,84,Doduo,Peck,Aerial Ace,,82%,79%,26,33
216,39,Jigglypuff,Feint Attack,Disarming Voice,,54%,49%,40,37
106,21,Spearow,Peck,Drill Peck,,100%,98%,25,33
467,81,Magnemite,Thunder Shock,Thunderbolt,,97%,98%,39,35
798,140,Kabuto,Mud Shot,Rock Tomb,,91%,85%,39,39
796,140,Kabuto,Mud Shot,Ancient Power,,91%,93%,39,43
797,140,Kabuto,Mud Shot,Aqua Jet,,91%,99%,39,45
482,84,Doduo,Peck,Swift,,80%,77%,25,33
206,37,Vulpix,Ember,Flame Charge,16,76%,79%,31,32
201,37,Vulpix,Quick Attack,Body Slam,,76%,73%,30,30
549,95,Onix,Tackle,Rock Slide,,93%,93%,44,45
225,41,Zubat,Quick Attack,Poison Fang,,58%,77%,19,27
547,95,Onix,Rock Throw,Stone Edge,,100%,78%,47,38
581,100,Voltorb,Tackle,Signal Beam,,70%,88%,33,38
531,92,Gastly,Sucker Punch,Ominous Wind,,59%,65%,20,25
693,120,Staryu,Tackle,Bubble Beam,,71%,100%,30,38
551,95,Onix,Tackle,Iron Head,,79%,67%,37,32
296,52,Meowth,Bite,Body Slam,,92%,97%,41,41
357,63,Abra,Zen Headbutt,Psyshock,,100%,100%,19,23
340,60,Poliwag,Bubble,Mud Bomb,,80%,87%,29,36
339,60,Poliwag,Bubble,Bubble Beam,27,80%,95%,29,39
484,84,Doduo,Quick Attack,Aerial Ace,,78%,80%,25,34
132,25,Pikachu,Quick Attack,Discharge,,70%,87%,29,39
67,14,Kakuna,Bug Bite,Struggle,,100%,97%,23,15
692,120,Staryu,Tackle,Swift,60,68%,82%,29,31
694,120,Staryu,Tackle,Power Gem,,73%,90%,31,35
109,21,Spearow,Quick Attack,Drill Peck,,96%,100%,24,34
343,60,Poliwag,Mud Shot,Mud Bomb,28,78%,70%,28,28
342,60,Poliwag,Mud Shot,Bubble Beam,,78%,78%,28,32
672,116,Horsea,Bubble,Dragon Pulse,,88%,94%,28,36
291,52,Meowth,Scratch,Night Slash,,80%,64%,35,27
292,52,Meowth,Scratch,Dark Pulse,,80%,70%,35,29
546,95,Onix,Rock Throw,Rock Slide,,94%,100%,44,49
462,81,Magnemite,Spark,Discharge,,84%,98%,34,35
358,63,Abra,Zen Headbutt,Signal Beam,,92%,85%,17,19
359,63,Abra,Zen Headbutt,Shadow Ball,,92%,85%,17,20
79,16,Pidgey,Tackle,Aerial Ace,,100%,100%,26,29
423,74,Geodude,Tackle,Rock Slide,,100%,97%,39,50
548,95,Onix,Rock Throw,Iron Head,,79%,73%,37,35
425,74,Geodude,Tackle,Dig,,85%,88%,33,45
564,98,Krabby,Bubble,Vice Grip,,100%,94%,26,33
565,98,Krabby,Bubble,Bubble Beam,52,100%,98%,26,35
566,98,Krabby,Bubble,Water Pulse,53,100%,100%,26,36
673,116,Horsea,Bubble,Flash Cannon,,81%,100%,26,38
465,81,Magnemite,Thunder Shock,Discharge,,81%,97%,33,35
422,74,Geodude,Rock Throw,Dig,,85%,92%,33,47
532,92,Gastly,Sucker Punch,Dark Pulse,,61%,65%,21,26
78,16,Pidgey,Tackle,Twister,,100%,79%,26,23
80,16,Pidgey,Tackle,Air Cutter,,100%,91%,26,26
567,98,Krabby,Mud Shot,Vice Grip,,96%,75%,25,27
568,98,Krabby,Mud Shot,Bubble Beam,,96%,80%,25,28
569,98,Krabby,Mud Shot,Water Pulse,,96%,83%,25,30
105,21,Spearow,Peck,Aerial Ace,,81%,78%,20,27
671,116,Horsea,Bubble,Bubble Beam,59,79%,89%,25,34
57,11,Metapod,Bug Bite,Struggle,,100%,93%,25,16
66,13,Weedle,Poison Sting,Struggle,,89%,100%,16,12
520,90,Shellder,Tackle,Water Pulse,,100%,98%,25,33
420,74,Geodude,Rock Throw,Rock Slide,,100%,100%,39,52
463,81,Magnemite,Spark,Magnet Bomb,,77%,96%,31,34
76,16,Pidgey,Quick Attack,Aerial Ace,,81%,99%,21,29
517,90,Shellder,Ice Shard,Water Pulse,,99%,100%,25,34
519,90,Shellder,Tackle,Bubble Beam,,99%,95%,25,32
